mode,scenario,task,immediate_acc,final_acc,delta
ewc_stateful,cil,Subject_5_Exercise_2,0.05172413793103448,0.06711822660098522,0.015394088669950741
ewc_stateful,cil,Subject_5_Exercise_3,0.1188383645395491,0.1188383645395491,0.0
stateful,cil,Subject_7_Exercise_1,0.5082824760244115,0.045335658238884045,-0.46294681778552743
stateful,cil,Subject_7_Exercise_2,0.07366482504604052,0.001841620626151013,-0.07182320441988951
stateful,cil,Subject_7_Exercise_3,0.09146782357194505,0.09146782357194505,0.0
ewc_stateful,cil,Subject_10_Exercise_1,0.12118570183086312,0.0,-0.12118570183086312
ewc_stateful,cil,Subject_10_Exercise_2,0.8027043638598648,0.08481868469575907,-0.7178856791641057
ewc_stateful,cil,Subject_10_Exercise_3,0.039282990083905414,0.039282990083905414,0.0
ewc_stateful,cil,Subject_9_Exercise_1,0.6306620209059234,0.0,-0.6306620209059234
ewc_stateful,cil,Subject_9_Exercise_2,0.1857318573185732,0.03690036900369004,-0.14883148831488316
ewc_stateful,cil,Subject_9_Exercise_3,0.07775297619047619,0.07775297619047619,0.0
